Timestamp(s) KE PE
3.37 0.41915491 15.571145
3.38 0.33153841 15.65869
3.39 0.25836646 15.731789
3.4 0.19963908 15.790444
3.41 0.15535626 15.834655
3.42 0.125518 15.864421
3.43 0.1101243 15.879743
3.44 0.10917516 15.88062
3.45 0.12267058 15.867052
3.46 0.15061057 15.83904
3.47 0.19299512 15.796583
3.48 0.24982422 15.739682
3.49 0.32109789 15.668336
3.5 0.40681612 15.582545
3.51 0.50697892 15.48231
3.52 0.62158627 15.367631
3.53 0.75063818 15.238506
3.54 0.89413466 15.094938
3.55 1.0520757 14.936925
3.56 1.2244613 14.764467
3.57 1.4112915 14.577564
3.58 1.6125662 14.376217
3.59 1.8282855 14.160426
3.6 2.0584493 13.93019
3.61 2.3030577 13.685509
3.62 2.5621107 13.426384
3.63 2.8356082 13.152814
3.64 3.1235503 12.8648
3.65 3.425937 12.562341
3.66 3.7427682 12.245438
3.67 4.0740439 11.91409
3.68 4.4197643 11.568297
3.69 4.7799292 11.20806
3.7 5.1545386 10.833378
3.71 5.5435927 10.444252
3.72 5.9470912 10.040681
3.73 6.3650344 9.6226658
3.74 6.793181 9.1902059
3.75 481.4206 8.7433014
3.76 7.7626811 8.2819524
3.77 8.2211403 7.8061588
3.78 8.7113063 7.3159206
3.79 9.2159168 6.8112378
3.8 9.7349719 6.2921106
3.81 10.268471 5.7585387
3.82 10.816416 5.2105223
3.83 11.378804 4.6480613
3.84 11.955638 4.0711558
3.85 12.546916 3.4798057
3.86 13.152638 2.874011
3.87 13.249167 2.7682053
3.88 12.641174 3.3761261
3.89 12.047626 3.9696023
3.9 11.468522 4.548634
3.91 10.903863 5.1132211
3.92 10.353648 5.6633637
3.93 9.8178776 6.1990617
3.94 9.2965519 6.7203151
3.95 8.7896708 7.227124
3.96 8.2972343 7.7194883
3.97 7.8192423 8.1974081
3.98 7.3556949 8.6608833
3.99 6.906592 9.1099139
4 6.4719337 9.5445
4.01 6.05172 9.9646415
4.02 5.6459508 10.370338
4.03 5.2546262 10.761591
4.04 4.8777462 11.138399
4.05 4.5153107 11.500762
4.06 4.1673198 11.848681
4.07 3.8337734 12.182155
4.08 3.5146716 12.501184
4.09 3.2100144 12.805769
4.1 2.9198017 13.09591
4.11 2.6440336 13.371606
4.12 2.38271 13.632857
4.13 2.135831 13.879664
4.14 1.9033966 14.112026
4.15 1.6854067 14.329944
4.16 1.4818614 14.533417
4.17 1.2927607 14.722445
4.18 1.1181045 14.897029
4.19 0.95789286 15.057169
4.2 0.81212579 15.202863
4.21 0.68080329 15.334114
4.22 0.56392535 15.450919
4.23 0.46149197 15.553281
4.24 0.37350315 15.641197
4.25 0.29995889 15.714669
4.26 0.2408592 15.773697
4.27 0.19620406 15.81828
4.28 0.16599349 15.848418
4.29 0.15022748 15.864112
4.3 0.14890603 15.865361
4.31 0.16202914 15.852166
4.32 0.18959682 15.824526
4.33 0.23160905 15.782441
4.34 0.28806585 15.725912
4.35 0.3589672 15.654939
4.36 0.44431312 15.569521
4.37 0.5441036 15.469658
4.38 0.65833864 15.355351
4.39 0.78701825 15.226599
4.4 0.93014241 15.083402
4.41 1.0877111 14.925761
4.42 1.2597244 14.753676
4.43 1.4461823 14.567146
4.44 1.6470847 14.366171
4.45 1.8624317 14.150752
4.46 2.0922232 13.920888
4.47 2.3364593 13.67658
4.48 2.5951399 13.417827
4.49 2.8682652 13.14463
4.5 3.1558349 12.856988
4.51 3.4578493 12.554901
4.52 3.7743082 12.23837
4.53 4.1052116 11.907394
4.54 4.4505597 11.561974
4.55 4.8103522 11.202109
4.56 5.1845894 10.8278
4.57 5.5732711 10.439046
4.58 5.9763974 10.035847
4.59 6.3939682 9.6182044
4.6 6.8259836 9.1861167
4.61 7.2724435 8.7395846
4.62 7.7333481 8.2786078
4.63 8.2086971 7.8031865
4.64 8.6984908 7.3133207
4.65 9.202729 6.8090103
4.66 9.7214117 6.2902553
4.67 10.254539 5.7570557
4.68 10.802111 5.2094116
4.69 11.364127 4.6473229
4.7 11.940588 4.0707897
4.71 12.531494 3.4798119
4.72 13.136844 2.8743896
4.73 13.263335 2.7678732
4.74 12.5033 3.3759343
4.75 11.909611 3.9695508
4.76 11.330367 4.5487228
4.77 10.765567 5.1134502
4.78 10.215212 5.6637331
4.79 9.6793018 6.1995714
4.8 9.1578358 6.7209651
4.81 8.6508144 7.2279143
4.82 8.1582376 7.7204189
4.83 7.6801053 8.1984789
4.84 7.2164176 8.6620944
4.85 6.7671745 9.1112653
4.86 6.3323759 9.5459917
4.87 5.9120219 9.9662735
4.88 5.5061124 10.372111
4.89 5.1146475 10.763503
4.9 4.7376271 11.140452
4.91 4.3750514 11.502955
4.92 4.0269201 11.851014
4.93 3.6932335 12.184629
4.94 3.3739914 12.503798
4.95 3.0691938 12.808524
4.96 2.7788409 13.098805
4.97 2.5029324 13.374641
4.98 2.2414686 13.636032
4.99 1.9944493 13.882979
5 1.7618746 14.115482
5.01 1.5437444 14.33354
5.02 1.3400588 14.537153
5.03 1.1508177 14.726322
5.04 0.97602126 14.901046
5.05 0.81566934 15.061326
5.06 0.66976198 15.207161
5.07 0.53829918 15.338552
5.08 0.42127814 15.455498
5.09 0.31870447 15.557999
